ad	10142	að	1
eg	5097	ég	1
eptir	4016	eftir	1
þad	2970	það	1
jeg	2487	ég	1
med	2139	með	1
sjer	2045	sér	1
vid	1848	við	1
hjer	1824	hér	1
vjer	1511	vér	1
i	1334	None	0
aptur	1333	aftur	1
ecki	1260	ekki	1
sje	1239	sé	1
o	1130	None	0
a	1012	None	0
eda	1007	eða	1
mjer	854	mér	1
vóru	832	voru	1
t	771	None	0
bezt	733	best	1
b	682	None	0
j	627	None	0
opt	532	oft	1
hafdi	495	hafði	1
fyr	489	fyrr	1
verid	484	verið	1
þjer	447	þér	1
helzt	431	helst	1
hvad	413	hvað	1
v	404	None	0
p	380	None	0
da	375	None	0
íslenzku	339	íslensku	1
vard	336	varð	1
fje	330	fé	1
bezta	329	besta	1
c	324	None	0
rjett	323	rétt	1
rbd	320	None	0
sjeu	315	séu	1
ádur	308	áður	1
beztu	304	bestu	1
verda	302	verða	1
bædi	300	bæði	1
øllum	287	öllum	1
hefdi	286	hefði	1
mikid	279	mikið	1
íslenzka	270	íslenska	1
heldr	263	heldur	1
annad	247	annað	1
sídan	246	síðan	1
l	245	None	0
ødrum	243	öðrum	1
þenna	242	þennan	1
minsta	239	minnsta	1
ii	238	None	0
verdi	234	verði	1
rvík	233	None	0
nje	226	né	1
ordid	217	orðið	1
ta	216	None	0
mjøg	214	mjög	1
edur	213	eður	1
helztu	212	helstu	1
verdur	210	verður	1
rd	207	None	0
k	206	None	0
ljet	206	lét	1
einúngis	204	einungis	1
øllu	201	öllu	1
pd	201	None	0
sízt	200	síst	1
hvørt	195	[hvert, hvort]	0
stad	194	stað	1
optast	193	oftast	1
th	193	None	0
komid	191	komið	1
de	190	None	0
guðm	189	None	0
r	188	None	0
ser	186	sér	1
febr	184	None	0
medal	181	meðal	1
hid	179	hið	1
gánga	174	ganga	1
bygt	169	byggt	1
hønum	166	honum	1
yrdi	165	yrði	1
íslenzkum	163	íslenskum	1
høfdu	161	höfðu	1
sjeð	155	séð	1
ýms	153	[ýmis, ýmiss]	0
þat	152	það	1
hvørjum	151	hverjum	1
verðr	151	verður	1
íslenzk	148	íslensk	1
lángt	147	langt	1
árid	146	árið	1
lítid	144	lítið	1
altaf	143	alltaf	1
minst	142	minnst	1
konúngur	141	konungur	1
w	141	None	0
øll	139	öll	1
hjelt	138	hélt	1
mønnum	138	mönnum	1
ydur	138	yður	1
fjekk	136	fékk	1
khöfn	134	None	0
finst	133	finnst	1
iii	133	None	0
medan	133	meðan	1
samþykt	130	samþykkt	1
þýzkalandi	129	þýskalandi	1
fanst	127	fannst	1
konúngs	127	konungs	1
géta	126	geta	1
hvørr	126	! hver	0
madur	125	maður	1
hra	124	None	0
komizt	124	komist	1
rád	124	ráð	1
the	124	None	0
áðr	123	áður	1
nidur	123	niður	1
kaupm	121	None	0
gjøra	120	gera	1
den	119	None	0
aptr	117	aftur	1
gjørt	117	gert	1
hvorttveggja	117	None	0
islandi	115	íslandi	1
ødru	115	öðru	1
þókti	115	þótti	1
maðr	114	maður	1
ydar	113	yðar	1
au	111	None	0
alment	109	almennt	1
farid	109	farið	1
sagdi	109	sagði	1
þángad	109	þangað	1
þángað	109	þangað	1
mentun	108	menntun	1
unt	108	unnt	1
kossuth	107	None	0
nýu	107	nýju	1
urdu	107	urðu	1
in	106	! hin	0
unz	106	uns	1
getr	105	getur	1
hvør	104	! hver	0
ádr	103	áður	1
sømu	103	sömu	1
sídar	101	síðar	1
ens	100	! [hins, eins?]	0
adra	98	aðra	1
brjefi	98	bréfi	1
hvervetna	97	! hvarvetna	0
brjef	96	bréf	1
hefdu	96	hefðu	1
s	95	None	0
bygð	94	byggð	1
adrir	93	aðrir	1
fleirum	91	None	0
hèr	91	hér	1
híngad	91	hingað	1
þjódólfr	91	þjóðólfur	1
fengid	90	fengið	1
mr	90	None	0
látid	89	látið	1
tekid	88	tekið	1
annann	87	annan	1
co	87	None	0
gétur	86	getur	1
sjálfr	86	sjálfur	1
sv	86	None	0
betr	85	betur	1
bygði	85	byggði	1
einginn	85	enginn	1
hjeðan	85	héðan	1
iv	85	None	0
ønundr	85	önundur	1
skamt	85	skammt	1
skifta	85	skipta	1
æfinlega	84	ævinlega	1
konúngi	84	konungi	1
mánudi	84	mánuði	1
nockud	83	nokkuð	1
nýa	83	nýja	1
hvørs	82	! [hvers, hvors]	0
leid	82	leið	1
lopt	82	loft	1
edr	81	eður	1
haldid	81	haldið	1
hvørnig	81	hvernig	1
konúngr	81	konungur	1
konúngsins	81	konungsins	1
helzta	80	helsta	1
hverr	80	! hver	0
jónassen	79	None	0
kemr	79	kemur	1
ordum	79	orðum	1
sira	79	[síra, séra]	0
aptan	78	aftan	1
frjettir	78	fréttir	1
gjørdi	78	gerði	1
íslenzkar	78	íslenskar	1
buonaparte	77	None	0
gud	77	guð	1
þuml	77	None	0
ætíd	76	ætíð	1
bl	76	None	0
kent	76	kennt	1
mørgum	76	mörgum	1
ráðaneyti	76	! ráðuneyti	0
optar	75	oftar	1
ord	75	orð	1
sèr	75	sér	1
verdr	75	verður	1
vída	75	víða	1
géfa	74	gefa	1
hjeldu	74	héldu	1
milj	74	None	0
sønnu	74	sönnu	1
guds	73	guðs	1
tr	73	None	0
det	72	None	0
þýzku	72	þýsku	1
fekk	71	fékk	1
fránkaríkis	71	! frankaríkis	0
mørg	71	mörg	1
vi	71	None	0
fult	70	fullt	1
hvørsu	70	hversu	1
madr	70	maður	1
aftr	69	aftur	1
høfum	69	höfum	1
hvørju	69	hverju	1
íslenzkra	69	íslenskra	1
penínga	69	peninga	1
þadan	69	þaðan	1
þaraf	69	! þar af	0
bezti	68	besti	1
børn	68	börn	1
fránkaríki	68	! frankaríki	0
híngað	68	hingað	1
lopti	68	lofti	1
bókmentir	67	bókmenntir	1
búid	67	búið	1
eingin	67	engin	1
kríngum	67	kringum	1
rjetti	67	rétti	1
sídur	67	síður	1
sjera	67	séra	1
túngu	67	tungu	1
þvi	67	því	1
nokkud	66	nokkuð	1
ønnur	66	önnur	1
stríd	66	stríð	1
fra	65	frá	1
allstaðar	64	! alls staðar	0
ísaf	64	None	0
islands	64	íslands	1
íslenzkt	64	íslenskt	1
kémur	64	kemur	1
kenslu	64	kennslu	1
kjöbenhavn	64	None	0
ordin	64	orðin	1
